species,Mean_top,Mean_bottom,SE_top,SE_bottom,diff,ratio,SE_ratio,SE_diff,diff_new,common_name
Actitis macularius,0.05852971093098359,0.01213809935949128,1.450170258867217e-4,6.696828418285921e-5,0.04639161157149231,0.2073835521553173,0.0012542554204072848,1.5973318028332842e-4,0.7926164478446827,Spotted Sandpiper
Agelaius phoeniceus,0.6573602024275882,0.38912141901246877,4.0535417557051485e-4,8.680800274463555e-4,0.2682387834151194,0.5919455080722393,0.0013700736264529393,9.58057901018366e-4,0.40805449192776067,Red-winged Blackbird
Aix sponsa,0.18151403009686642,0.08099058985158211,3.3493199695984227e-4,2.4448648482769435e-4,0.10052344024528431,0.44619465397997515,0.001578632266921709,4.146722607685619e-4,0.5538053460200248,Wood Duck
Anas crecca,0.036803784918228506,0.008895055596139245,1.1381291928132987e-4,4.777490422412416e-5,0.02790872932208926,0.24168860936184913,0.0014978884042181266,1.2343347223894637e-4,0.7583113906381509,Green-winged Teal
Anas platyrhynchos,0.40575557648607175,0.22843764407598102,5.667568302684373e-4,6.169064437898303e-4,0.17731793241009072,0.5629932336464698,0.0017117200908927115,8.377272020445207e-4,0.4370067663535302,Mallard
Antigone canadensis,0.2041752748286023,0.08680263633795968,4.209485422298791e-4,3.3133363191871463e-4,0.11737263849064261,0.4251378449757314,0.0018443734300830797,5.357048168963077e-4,0.5748621550242685,Sandhill Crane
Archilochus colubris,0.0875295664347521,0.08386828654640528,2.710186317665303e-4,3.8655491027029236e-4,0.003661279888346816,0.958170935405283,0.005320279885861398,4.720972330131537e-4,0.041829064594717025,Ruby-throated Hummingbird
Ardea alba,0.05899495349300456,0.03966862078033072,1.9468158312589088e-4,2.0216663944047257e-4,0.019326332712673838,0.6724070184246268,0.0040825109032823804,2.806639786489481e-4,0.3275929815753732,Great Egret
Ardea herodias,0.16356532089028028,0.08629348988389422,2.9793582529732753e-4,2.399340563775209e-4,0.07727183100638606,0.5275781529617758,0.001753652343255255,3.825364131757538e-4,0.4724218470382242,Great Blue Heron
Astur cooperii,0.044306456689233574,0.016166635883279806,1.0408028204691648e-4,5.518687760210917e-5,0.02813982080595377,0.3648821659712699,0.0015120007209965187,1.1780618222502529e-4,0.6351178340287301,Cooper's Hawk
Aythya affinis,0.058025872279127866,0.019416427427192927,1.4048631194373963e-4,1.089929986443133e-4,0.03860944485193494,0.33461672637667683,0.0020456128227649873,1.778085419686945e-4,0.6653832736233232,Lesser Scaup
Aythya americana,0.04550283208486725,0.01724543169868064,1.033772533625661e-4,1.051379955323045e-4,0.028257400386186612,0.37899688675456983,0.0024658005304248223,1.474478030264916e-4,0.6210031132454301,Redhead
Aythya collaris,0.0679907316430868,0.026983041238843757,1.701557729299151e-4,1.0932822024247494e-4,0.04100769040424305,0.3968635222296119,0.0018899934810644012,2.0225144450105649e-4,0.603136477770388,Ring-necked Duck
Aythya marila,0.015396392488524353,0.003956675203924541,9.618439090418517e-5,4.2584053085170006e-5,0.011439717284599811,0.25698716156227086,0.0031980271866024765,1.0518953669814159e-4,0.7430128384377291,Greater Scaup
Aythya valisineria,0.022671340761439986,0.0092164361454486,6.821975701616726e-5,5.1778604108295646e-5,0.013454904615991385,0.4065236477378594,0.002590843366228591,8.56443757099584e-5,0.5934763522621407,Canvasback
Baeolophus bicolor,0.18013820437085176,0.07327070786794856,6.034990496245535e-4,6.071020720095852e-4,0.1068674965029032,0.4067471868272077,0.0036352672769648943,8.560280537085633e-4,0.5932528131727923,Tufted Titmouse
Bombycilla cedrorum,0.16108477731390602,0.045064890598901786,3.209098483839047e-4,1.6786331477189762e-4,0.11601988671500424,0.27975884096784515,0.0011817565481714858,3.6216187435453485e-4,0.7202411590321549,Cedar Waxwing
Branta canadensis,0.43341161936396794,0.2507142175277813,5.728168578880018e-4,5.866561975473242e-4,0.18269740183618666,0.57846676537123,0.001554566076956911,8.199296596668328e-4,0.42153323462877,Canada Goose
Bubo virginianus,0.0121746657646658,0.005976488518247838,4.638799120144956e-5,3.476995188260663e-5,0.0061981772464179625,0.49089549017380313,0.0034139071984393326,5.797236653462184e-5,0.5091045098261968,Great Horned Owl
Bucephala albeola,0.08559381015063901,0.03752903125029325,2.048202701480832e-4,1.3981933819558467e-4,0.04806477890034576,0.43845496752913354,0.001941442692953409,2.47993528941755e-4,0.5615450324708664,Bufflehead
Bucephala clangula,0.035043895223275945,0.013695741719024572,9.47124370615848e-5,5.676083739417819e-5,0.02134815350425137,0.39081676371204144,0.001933680433878137,1.1041846945069017e-4,0.6091832362879586,Common Goldeneye
Buteo jamaicensis,0.14175229288503113,0.056869100429517164,2.2487849709988057e-4,1.6490933831227316e-4,0.08488319245551397,0.4011864589424392,0.0013260773577451139,2.788645339954379e-4,0.5988135410575608,Red-tailed Hawk
Buteo platypterus,0.014734868527119981,0.005688730537942371,4.5139438499769545e-5,3.3061728252236314e-5,0.00904613798917761,0.38607270417595424,0.002536401661316141,5.5952183005662954e-5,0.6139272958240458,Broad-winged Hawk
Butorides virescens,0.05216517382660359,0.023171676939051228,1.1252416154648928e-4,1.0613547110960837e-4,0.028993496887552365,0.44419821193491277,0.0022489331866144876,1.546816898000501e-4,0.5558017880650872,Green Heron
Calidris melanotos,0.017987106671111256,0.002798936936784936,6.243644863699208e-5,2.0429106066678617e-5,0.01518816973432632,0.15560795785351375,0.0012576621018905556,6.569367163649293e-5,0.8443920421464862,Pectoral Sandpiper
Calidris minutilla,0.028598248215521954,0.0047303483081309215,7.639795967238855e-5,2.9660157106159808e-5,0.023867899907391032,0.1654069253641726,0.0011273389642914944,8.195348169337279e-5,0.8345930746358274,Least Sandpiper
Calidris pusilla,0.015580304430150464,0.001990326139045629,4.547757271896881e-5,1.756678236960044e-5,0.013589978291104834,0.12774629327486176,0.0011875582199683266,4.8752450843316595e-5,0.8722537067251382,Semipalmated Sandpiper
Cardellina pusilla,0.014302608231237286,0.0045568566040167634,4.260371257186074e-5,2.940162513498846e-5,0.009745751627220522,0.31860318973601365,0.002264177426747624,5.176419501435437e-5,0.6813968102639864,Wilson's Warbler
Cardinalis cardinalis,0.5498463663439584,0.3913623029071829,5.550735416470544e-4,8.721278044234767e-4,0.15848406343677557,0.7117666440344624,0.0017412920967973791,0.0010337860242260572,0.28823335596553756,Northern Cardinal
Cathartes aura,0.20464859683979003,0.09195034514084054,3.9499976285228643e-4,3.140772794542639e-4,0.1126982516989495,0.44930845635274125,0.001762791098531128,5.046477485561135e-4,0.5506915436472588,Turkey Vulture
Catharus fuscescens,0.03649473839200343,0.00634541654711424,1.1111172364463362e-4,3.7775526279237824e-5,0.03014932184488919,0.17387209298380998,0.0011626068906973174,1.1735759675860281e-4,0.82612790701619,Veery
Catharus guttatus,0.029705608525310307,0.010750935672896634,9.403883616378739e-5,3.9289653485940114e-5,0.018954672852413673,0.3619160221456641,0.001749864018056078,1.0191653240806858e-4,0.6380839778543359,Hermit Thrush
Catharus ustulatus,0.03393322063799672,0.010356615031223997,8.724687539818505e-5,4.25982590309456e-5,0.023576605606772723,0.3052057787767772,0.0014804429160740862,9.709082829605465e-5,0.6947942212232228,Swainson's Thrush
Certhia americana,0.03240301027136888,0.011936937026682143,9.24724481589485e-5,5.1131519299716424e-5,0.020466073244686737,0.36838975535645074,0.0018961312752156056,1.0566733617540802e-4,0.6316102446435492,Brown Creeper
Chaetura pelagica,0.10097973278256168,0.027295170143474712,2.515081400585207e-4,1.5322370415819813e-4,0.07368456263908697,0.27030344992345184,0.001660019698196045,2.9450610864913395e-4,0.7296965500765482,Chimney Swift
Charadrius vociferus,0.2611220246720745,0.07195460268307027,3.80971883239772e-4,3.223098841057512e-4,0.18916742198900424,0.2755593013397977,0.0012981506024217265,4.990222812776211e-4,0.7244406986602023,Killdeer
Chroicocephalus philadelphia,0.023054330027035667,0.0055877387353173965,6.898018529966765e-5,3.8064714296629556e-5,0.01746659129171827,0.24237263580267526,0.0018033299746438504,7.878571214668635e-5,0.7576273641973248,Bonaparte's Gull
Circus hudsonius,0.02166947273722769,0.00926341219955246,8.910094849929859e-5,7.111506594902303e-5,0.01240606053767523,0.42748673730478526,0.003722894995278442,1.14001454501285e-4,0.5725132626952147,Northern Harrier
Cistothorus palustris,0.03185303833454809,0.00880796431978949,9.434209486387984e-5,5.944860388862327e-5,0.023045074014758603,0.2765188120291901,0.0020381296307281555,1.115103912988011e-4,0.7234811879708098,Marsh Wren
Cistothorus stellaris,0.02760234625367869,0.006294984815729056,9.520590732813948e-5,5.1057690796635154e-5,0.021307361437949632,0.2280597728133381,0.0020100707107221284,1.0803264589770577e-4,0.7719402271866619,Sedge Wren
Coccyzus americanus,0.020050788954691815,0.003211488726712339,7.513456633143939e-5,2.8509445744428172e-5,0.016839300227979477,0.16016769883565413,0.0015433435007567095,8.036162986443193e-5,0.8398323011643458,Yellow-billed Cuckoo
Colaptes auratus,0.23388904821947926,0.06651992331531059,3.437776190110107e-4,1.9495319672144977e-4,0.16736912490416866,0.28440802945544047,9.324808896475952e-4,3.9520855284873573e-4,0.7155919705445595,Northern Flicker
Columba livia,0.09580295185993686,0.03576189003550177,2.5588465715166143e-4,2.6132226679081245e-4,0.06004106182443508,0.3732858888083675,0.002904211041624034,3.6574073451874604e-4,0.6267141111916326,Rock Pigeon
Contopus virens,0.16144837414049926,0.04176423735274233,3.723174692822448e-4,2.903387809937627e-4,0.11968413678775693,0.258684781281212,0.0018947027242027608,0.00047214076892562393,0.741315218718788,Eastern Wood-Pewee
Corthylio calendula,0.07149810797124025,0.02599049089691201,1.6904761249932467e-4,1.0236384500201233e-4,0.04550761707432824,0.36351298844672303,0.0016698701508301261,1.9762452290977917e-4,0.636487011553277,Ruby-crowned Kinglet
Corvus brachyrhynchos,0.47177375155295176,0.2464143398497685,5.983911232510057e-4,5.618369873436947e-4,0.22535941170318327,0.5223146456084914,0.0013627738630344625,8.208122420706451e-4,0.4776853543915086,American Crow
Cyanocitta cristata,0.43478093055874756,0.273650537099817,5.586633341235572e-4,7.680551978697045e-4,0.16113039345893054,0.6293986646289709,0.001942856567778854,9.497439169948498e-4,0.37060133537102913,Blue Jay
Cygnus buccinator,0.033222098154899175,0.02359166919003256,1.3491064187538102e-4,1.211620378184792e-4,0.009630428964866617,0.7101197847298985,0.004649364538642053,1.8133152152770873e-4,0.28988021527010155,Trumpeter Swan
Cygnus olor,0.05615803733974434,0.030014813955935152,2.560520464900977e-4,2.1042826774848996e-4,0.026143223383809186,0.5344704939446482,0.004469798925004864,3.314252651494713e-4,0.4655295060553518,Mute Swan
Dolichonyx oryzivorus,0.03353915238528707,0.009503897778394057,1.0986281604173822e-4,5.9056577802051815e-5,0.024035254606893014,0.2833672619157549,0.0019904991073984753,1.2472977884334845e-4,0.7166327380842451,Bobolink
Dryobates pubescens,0.3542449090733135,0.22141789895322073,5.556317218872514e-4,7.430835520874188e-4,0.1328270101200928,0.6250418659013014,0.002315446462216132,9.278468492969341e-4,0.3749581340986986,Downy Woodpecker
