species,Mean,CI_low,CI_high,common_name
Actitis macularius,0.03300956350665705,0.029531900519870473,0.03610338500759001,Spotted Sandpiper
Agelaius phoeniceus,0.5401731876091096,0.5249413842860722,0.5554295994056417,Red-winged Blackbird
Aix sponsa,0.14996821180943787,0.14166818931281175,0.15780249976331004,Wood Duck
Anas crecca,0.016084768316524455,0.01417428209318614,0.017753698879279176,Green-winged Teal
Anas platyrhynchos,0.34367506724838603,0.3286516706108105,0.3614161997932917,Mallard
Antigone canadensis,0.12863890658425603,0.11927622050763823,0.13814690985731892,Sandhill Crane
Archilochus colubris,0.09317724353915051,0.08564186798683202,0.1003902571030071,Ruby-throated Hummingbird
Ardea alba,0.05451142521325596,0.04966888946378863,0.05875108748454911,Great Egret
Ardea herodias,0.1418894285568729,0.13497721370375734,0.14863348506015892,Great Blue Heron
Astur cooperii,0.030996573639021346,0.02790042099306263,0.03365578169303115,Cooper's Hawk
Aythya affinis,0.03742842370170748,0.034379268167453965,0.04101673718719375,Lesser Scaup
Aythya americana,0.027549984549917382,0.02518034801756484,0.030063903984264548,Redhead
Aythya collaris,0.045712492585521625,0.041970298611688286,0.04952165586797518,Ring-necked Duck
Aythya valisineria,0.015468370083068516,0.013986830783578702,0.016970522500862357,Canvasback
Baeolophus bicolor,0.11935262205058922,0.10871112366296555,0.1312278194388012,Tufted Titmouse
Bombycilla cedrorum,0.10499612509258778,0.09921135972376126,0.11141268827405078,Cedar Waxwing
Branta canadensis,0.3580296124528081,0.34355994854724564,0.3728579641485131,Canada Goose
Bucephala albeola,0.06328892580579133,0.059011688053379925,0.06792489817134323,Bufflehead
Bucephala clangula,0.026679575262198822,0.02432321106345964,0.02901117435561616,Common Goldeneye
Buteo jamaicensis,0.09866260620240105,0.09146079575079172,0.10395928775396154,Red-tailed Hawk
Buteo platypterus,0.011167245238686258,0.01006011016128032,0.012384321807734596,Broad-winged Hawk
Butorides virescens,0.046574431426650714,0.04342526680498077,0.04983462068904273,Green Heron
Calidris minutilla,0.012860528017034004,0.01142634837887,0.014132823678474881,Least Sandpiper
Cardellina pusilla,0.011277329995387652,0.010169447562551838,0.01226913573533806,Wilson's Warbler
Cardinalis cardinalis,0.4915208938099904,0.4782116490876837,0.5069660137147276,Northern Cardinal
Cathartes aura,0.15494912955041057,0.14626873945621824,0.1631121091528915,Turkey Vulture
Catharus fuscescens,0.02159655666475685,0.01947909191255001,0.023641948054224888,Veery
Catharus guttatus,0.025335303623137292,0.02335347274714268,0.027467785709526564,Hermit Thrush
Catharus ustulatus,0.025878682843657227,0.023935016762714922,0.027686342583668738,Swainson's Thrush
Certhia americana,0.026363660794124378,0.02422111271422008,0.028255245397104948,Brown Creeper
Chaetura pelagica,0.05978148082130622,0.0560537483030968,0.06368612943690526,Chimney Swift
Charadrius vociferus,0.14400713039563187,0.13532063689840781,0.1522789251295837,Killdeer
Chroicocephalus philadelphia,0.011126901529149618,0.009881136737570616,0.012324324123040048,Bonaparte's Gull
Circus hudsonius,0.013996395245463186,0.012272694551045151,0.015796866534876094,Northern Harrier
Cistothorus palustris,0.020019144761494443,0.018367621062172778,0.021809575580959317,Marsh Wren
Cistothorus stellaris,0.015384687691993595,0.013396867655581953,0.017349790024257485,Sedge Wren
Colaptes auratus,0.154659062604369,0.14671240723561849,0.16161207255321292,Northern Flicker
Columba livia,0.055931499344417226,0.0513802155240988,0.060131375076956,Rock Pigeon
Contopus virens,0.10267743011328952,0.09250642097980756,0.11181800433843056,Eastern Wood-Pewee
Corthylio calendula,0.05695162094037594,0.05216932810931031,0.06107607073728869,Ruby-crowned Kinglet
Corvus brachyrhynchos,0.33453224836208245,0.3185209747538817,0.34821175074859273,American Crow
Cyanocitta cristata,0.3740993787857132,0.36090295163539815,0.38681040643250975,Blue Jay
Cygnus buccinator,0.036590655893249245,0.03204221004291523,0.040497861653656916,Trumpeter Swan
Cygnus olor,0.04957428926056052,0.042828061989438754,0.05546344490905678,Mute Swan
Dolichonyx oryzivorus,0.020272871089969828,0.016336922345242564,0.023158544813206852,Bobolink
Dryobates pubescens,0.30657160950537693,0.29331294018680365,0.3208061245358211,Downy Woodpecker
Dryobates villosus,0.1204572840477298,0.1115866209183837,0.1287393165730785,Hairy Woodpecker
