species,Mean,SE,common_name
Actitis macularius,0.029626897397033315,1.1230401092164833e-4,Spotted Sandpiper
Agelaius phoeniceus,0.5337231949529411,5.957951193719335e-4,Red-winged Blackbird
Aix sponsa,0.13769599291413637,3.428808268125418e-4,Wood Duck
Anas crecca,0.015174091040800313,6.773011351994613e-5,Green-winged Teal
Anas platyrhynchos,0.33786654068006283,5.297209799583202e-4,Mallard
Antigone canadensis,0.13979305568394185,3.5418899455466835e-4,Sandhill Crane
Archilochus colubris,0.08403229560456496,3.1626120770205475e-4,Ruby-throated Hummingbird
Ardea alba,0.06700804561651819,2.036214133668312e-4,Great Egret
Ardea herodias,0.1578329318389738,2.7185105410104464e-4,Great Blue Heron
Astur cooperii,0.02986440301429443,1.0383291837164049e-4,Cooper's Hawk
Aythya affinis,0.028878889231477793,1.0858949192572997e-4,Lesser Scaup
Aythya americana,0.018140865313453994,7.856682740439107e-5,Redhead
Aythya collaris,0.03386875765683563,1.2479165992955113e-4,Ring-necked Duck
Baeolophus bicolor,0.1539262736484488,6.565246339352963e-4,Tufted Titmouse
Bombycilla cedrorum,0.14079137231924785,3.506821446393892e-4,Cedar Waxwing
Branta canadensis,0.347388357206969,4.887545107062231e-4,Canada Goose
Bucephala albeola,0.046417102525303205,1.530771428685509e-4,Bufflehead
Bucephala clangula,0.015305802980491626,6.661052899227791e-5,Common Goldeneye
Buteo jamaicensis,0.08017508743487275,1.7347300714733063e-4,Red-tailed Hawk
Buteo platypterus,0.010725500745517534,5.2496593048736245e-5,Broad-winged Hawk
Butorides virescens,0.07036739620548875,1.757305986918899e-4,Green Heron
Calidris minutilla,0.012948200957305346,8.153532962580397e-5,Least Sandpiper
Cardellina pusilla,0.011015973213463284,6.839476215879866e-5,Wilson's Warbler
Cardinalis cardinalis,0.547452074381093,6.791361508445071e-4,Northern Cardinal
Cathartes aura,0.1422482780699223,3.378768666819649e-4,Turkey Vulture
Catharus fuscescens,0.016570021381720125,8.263269414789177e-5,Veery
Catharus guttatus,0.020897127818532295,8.332116547051794e-5,Hermit Thrush
Catharus ustulatus,0.017416995987948096,7.808859427782953e-5,Swainson's Thrush
Certhia americana,0.025052812301694538,9.305448404432438e-5,Brown Creeper
Chaetura pelagica,0.07270912636232757,2.272776526724231e-4,Chimney Swift
Charadrius vociferus,0.1446972604961552,3.069892993164079e-4,Killdeer
Chlidonias niger,0.010533503755930679,6.047611077617658e-5,Black Tern
