species,common_name,N,audio_index,time
Actitis macularius,Spotted Sandpiper,0.2073835521553173,-0.3755228939426579,pre
Agelaius phoeniceus,Red-winged Blackbird,0.5919455080722394,0.40751927824096984,pre
Aix sponsa,Wood Duck,0.4461946539799752,-0.7044939116316719,pre
Anas crecca,Green-winged Teal,0.24168860936184905,-0.6461328493763393,pre
Anas platyrhynchos,Mallard,0.5629932336464698,-0.8316283552899344,pre
Antigone canadensis,Sandhill Crane,0.4251378449757314,-0.04795452461337031,pre
Archilochus colubris,Ruby-throated Hummingbird,0.958170935405283,-0.748959232609749,pre
Ardea alba,Great Egret,0.6724070184246268,-1.516928372890033,pre
Ardea herodias,Great Blue Heron,0.5275781529617758,-1.1491087738138028,pre
Astur cooperii,Cooper's Hawk,0.36488216597126977,-0.2554678578366795,pre
Aythya affinis,Lesser Scaup,0.3346167263766768,-2.7442999972713333,pre
Aythya americana,Redhead,0.37899688675456983,-2.0583769322576813,pre
Aythya collaris,Ring-necked Duck,0.3968635222296118,-1.728892125748346,pre
Aythya marila,Greater Scaup,0.25698716156227086,-2.650311603891718,pre
Aythya valisineria,Canvasback,0.4065236477378595,-2.2793350042715144,pre
Baeolophus bicolor,Tufted Titmouse,0.4067471868272077,1.0403157200708941,pre
Bombycilla cedrorum,Cedar Waxwing,0.2797588409678451,-0.2804704360512954,pre
Branta canadensis,Canada Goose,0.57846676537123,-0.24294647206734568,pre
Bubo virginianus,Great Horned Owl,0.4908954901738025,0.9308623844828642,pre
Bucephala albeola,Bufflehead,0.43845496752913354,-1.9256419417703046,pre
Bucephala clangula,Common Goldeneye,0.39081676371204144,-1.4202759839137236,pre
Buteo jamaicensis,Red-tailed Hawk,0.4011864589424392,-0.8923634693555595,pre
Buteo platypterus,Broad-winged Hawk,0.3860727041759542,0.1362015444097658,pre
Butorides virescens,Green Heron,0.44419821193491266,-0.39846363674696095,pre
Calidris melanotos,Pectoral Sandpiper,0.15560795785351347,-1.2016186200080887,pre
Calidris minutilla,Least Sandpiper,0.16540692536417254,-0.5760395570990836,pre
Calidris pusilla,Semipalmated Sandpiper,0.1277462932748612,-0.9475392210548887,pre
Cardellina pusilla,Wilson's Warbler,0.31860318973601354,0.6881961609387514,pre
Cardinalis cardinalis,Northern Cardinal,0.7117666440344624,0.6526542390618777,pre
Cathartes aura,Turkey Vulture,0.44930845635274125,-2.8288834388220296,pre
Catharus fuscescens,Veery,0.17387209298380998,1.6114356788675628,pre
Catharus guttatus,Hermit Thrush,0.3619160221456641,0.7028909506647012,pre
Catharus ustulatus,Swainson's Thrush,0.305205778776777,1.4806864834371998,pre
Certhia americana,Brown Creeper,0.3683897553564507,0.6016800969657009,pre
Chaetura pelagica,Chimney Swift,0.27030344992345184,0.7616658066380082,pre
Charadrius vociferus,Killdeer,0.2755593013397977,0.09206104882452357,pre
Chroicocephalus philadelphia,Bonaparte's Gull,0.2423726358026751,-1.1428655735677653,pre
Circus hudsonius,Northern Harrier,0.42748673730478526,-1.3799079384874102,pre
Cistothorus palustris,Marsh Wren,0.2765188120291901,1.350275419854384,pre
Cistothorus stellaris,Sedge Wren,0.2280597728133379,1.533216277551275,pre
Coccyzus americanus,Yellow-billed Cuckoo,0.1601676988356537,0.944968018701756,pre
Colaptes auratus,Northern Flicker,0.2844080294554404,0.27472454845503935,pre
Columba livia,Rock Pigeon,0.3732858888083675,-0.8434255647469465,pre
Contopus virens,Eastern Wood-Pewee,0.258684781281212,0.8159466106773976,pre
Corthylio calendula,Ruby-crowned Kinglet,0.36351298844672303,0.28580944953821624,pre
Corvus brachyrhynchos,American Crow,0.5223146456084914,0.8893359091070989,pre
Cyanocitta cristata,Blue Jay,0.6293986646289709,0.9490726867150355,pre
Cygnus buccinator,Trumpeter Swan,0.7101197847298986,-0.5022569538168681,pre
Cygnus olor,Mute Swan,0.5344704939446481,-1.1533960747624827,pre
Dolichonyx oryzivorus,Bobolink,0.2833672619157547,0.6294882912162766,pre
Dryobates pubescens,Downy Woodpecker,0.6250418659013014,0.03983725538924959,pre
Dryobates villosus,Hairy Woodpecker,0.5598412087657356,0.6369150120150615,pre
Dryocopus pileatus,Pileated Woodpecker,0.5177742736206136,0.4626804793199197,pre
Dumetella carolinensis,Gray Catbird,0.427322435919118,0.9053238462612663,pre
Empidonax minimus,Least Flycatcher,0.2121426320621777,0.9437387021709044,pre
Empidonax traillii,Willow Flycatcher,0.1659583118207215,1.1582893720019452,pre
Empidonax virescens,Acadian Flycatcher,0.0876559509425716,1.8380223123927695,pre
Eremophila alpestris,Horned Lark,0.20519419398274347,0.021109070472215316,pre
Falco sparverius,American Kestrel,0.44361609687328385,-0.938543418208577,pre
Fulica americana,American Coot,0.5948574199648782,-0.8492653421485331,pre
Gallinago delicata,Wilson's Snipe,0.23762477066548582,-0.0881375785618742,pre
Gavia immer,Common Loon,0.6356614640518657,-0.5369236131081473,pre
Geothlypis trichas,Common Yellowthroat,0.276145177391477,0.7982179919110536,pre
Haemorhous mexicanus,House Finch,0.6858704316246026,0.22514620178276817,pre
Haemorhous purpureus,Purple Finch,0.7644782937779816,0.46784549601618003,pre
Haliaeetus leucocephalus,Bald Eagle,0.7421777010192193,-1.2912230243068328,pre
Hirundo rustica,Barn Swallow,0.36371810194897786,-0.22851590129081611,pre
Hydroprogne caspia,Caspian Tern,0.34556760110614465,-0.5505722767525719,pre
