species_pre,common_name_pre,ratio_pre,species_pre,common_name_pre,ratio_pre
Archilochus colubris,Ruby-throated Hummingbird,0.958170935405283,Junco hyemalis,Dark-eyed Junco,0.9014308274995708
Junco hyemalis,Dark-eyed Junco,0.8739148984470699,Archilochus colubris,Ruby-throated Hummingbird,0.8514126954960347
Haemorhous purpureus,Purple Finch,0.7644782937779815,Passer domesticus,House Sparrow,0.8483946457738948
Poecile atricapillus,Black-capped Chickadee,0.7426727055861122,Poecile atricapillus,Black-capped Chickadee,0.7903894319381066
Haliaeetus leucocephalus,Bald Eagle,0.7421777010192193,Cardinalis cardinalis,Northern Cardinal,0.783068367644418
Cardinalis cardinalis,Northern Cardinal,0.7117666440344624,Haemorhous mexicanus,House Finch,0.781331717036234
Cygnus buccinator,Trumpeter Swan,0.7101197847298985,Turdus migratorius,American Robin,0.7413473653977877
Haemorhous mexicanus,House Finch,0.6858704316246026,Cyanocitta cristata,Blue Jay,0.7220297818753626
Melanerpes erythrocephalus,Red-headed Woodpecker,0.678493878702574,Dryobates pubescens,Downy Woodpecker,0.6946954417506758
Ardea alba,Great Egret,0.6724070184246268,Haemorhous purpureus,Purple Finch,0.6869216512973554
Turdus migratorius,American Robin,0.6722885705652534,Sitta carolinensis,White-breasted Nuthatch,0.680049362612145
Passer domesticus,House Sparrow,0.6506600024622085,Spinus tristis,American Goldfinch,0.6698694340322369
Meleagris gallopavo,Wild Turkey,0.6435980668065318,Spinus pinus,Pine Siskin,0.6437950010292256
Gavia immer,Common Loon,0.6356614640518657,Zenaida macroura,Mourning Dove,0.6309299440697085
Cyanocitta cristata,Blue Jay,0.6293986646289709,Cygnus buccinator,Trumpeter Swan,0.6224841946495882
Dryobates pubescens,Downy Woodpecker,0.6250418659013014,Sitta canadensis,Red-breasted Nuthatch,0.6166323213456991
Strix varia,Barred Owl,0.6091970418098068,Dryobates villosus,Hairy Woodpecker,0.6134130385833709
Zonotrichia leucophrys,White-crowned Sparrow,0.6034569083082172,Ardea alba,Great Egret,0.5983809364451876
Sitta carolinensis,White-breasted Nuthatch,0.6023100143272937,Melanerpes carolinus,Red-bellied Woodpecker,0.5937340464965432
Spinus tristis,American Goldfinch,0.5953463935138471,Agelaius phoeniceus,Red-winged Blackbird,0.5880440849187264
