common_name,N,time,Index,audio_index
Peregrine Falcon,0.010830917743508141,pre,0.006121,0.00699219264224884
Red-winged Blackbird,9.441335447532001,pre,213.11154224999999,0.03924195576205357
Wood Duck,1.0789219701432768,pre,2.1442055,0.00806292863835717
Mallard,5.781311281170691,pre,7.7305085,0.00672852514450048
Canada Goose,13.135474691898718,pre,193.34919225,0.01555045537537116
Red-tailed Hawk,0.19763285964313482,pre,1.2891542500000002,0.00617140062134349
Northern Cardinal,1.8398088101817236,pre,14.89251675,0.05562262406246789
Veery,0.06308563528883494,pre,1.513815,0.21767444163819144
Chimney Swift,0.6577254874491206,pre,3.27630675,0.06495669553630913
Common Nighthawk,0.08198852742141885,pre,0.045125,0.0721923076923077
Northern Flicker,0.3971622863347058,pre,2.4612795,0.03248474629304501
Blue Jay,1.4473251631163306,pre,9.2349205,0.084809997579587
Downy Woodpecker,0.7699203144468517,pre,1.9687982499999999,0.0232547684076834
Pileated Woodpecker,0.1011590535800016,pre,0.813493,0.04244650499286733
Gray Catbird,0.7093127719913392,pre,11.50185725,0.07969093869875381
Common Yellowthroat,0.645771167621173,pre,25.44983375,0.06842491725664687
Wood Thrush,0.08075939337609091,pre,1.3238465000000001,0.3439384368000919
Baltimore Oriole,0.5841063055567763,pre,6.653995999999999,0.02794049679159904
Red-bellied Woodpecker,0.6481633532362736,pre,4.200588,0.03296822001857973
Swamp Sparrow,0.2091014732757513,pre,1.92517375,0.05009222571389534
Lincoln's Sparrow,0.01687085600925948,pre,0.00503575,0.02683123854525871
Song Sparrow,1.8086211858434158,pre,46.77964525,0.04787207476179113
Black-and-white Warbler,0.07447164582700731,pre,0.2400025,0.04071707647591487
Northern Waterthrush,0.04395475861558536,pre,0.062416,0.14192620297777458
Rose-breasted Grosbeak,0.3787285797785643,pre,6.473616,0.04822962906181839
Black-capped Chickadee,1.887252723506627,pre,6.8390625,0.0644706895491173
Blue-gray Gnatcatcher,0.2631932836415145,pre,0.56709975,0.04130934950847103
Common Grackle,2.7776050455291736,pre,42.026835500000004,0.02881170781859949
Eastern Phoebe,0.26191128361574234,pre,2.2168395,0.02561709649863471
Ovenbird,0.1129845125806165,pre,2.6135225,0.16176342714703923
Yellow-rumped Warbler,0.8150612534986541,pre,0.055170250000000004,0.01995444500395279
Magnolia Warbler,0.062005186813506336,pre,0.01472675,0.04209924665492298
Yellow Warbler,0.6837619828178956,pre,12.0004235,0.04700733141866162
American Redstart,0.3595151000108706,pre,2.68483925,0.06945654933878682
European Starling,3.8046522723615666,pre,113.633152,0.0212382047829571
American Robin,4.576360117772189,pre,79.31416,0.03944734886772119
Mourning Dove,1.5101002107700559,pre,37.65037275,0.01274254009740039
Redhead,1.1061842954336019,pre,0.101313,0.00117422712370717
Hairy Woodpecker,0.23664464908718627,pre,0.74070925,0.05439063816223846
Wild Turkey,0.3933724563616113,pre,4.316579,0.01357724223100088
White-breasted Nuthatch,0.7154254009802015,pre,4.1518749999999995,0.03932415006568085
American Goldfinch,2.258609803137001,pre,20.832276,0.02886895642793884
Sandhill Crane,1.3898994918588043,pre,15.8577685,0.02052362354585225
Cedar Waxwing,0.7982796088313943,pre,8.14645075,0.01474185601819152
American Crow,1.6801337244975338,pre,45.5319765,0.07789828800842638
House Finch,0.8400602540012113,pre,8.707846499999999,0.03027182189694652
Eastern Bluebird,0.3469660379029255,pre,3.73391225,0.01300868134254162
Red-eyed Vireo,0.28931899035228903,pre,7.62209875,0.13198029983222384
Turkey Vulture,0.6372498323983214,pre,3.21053925,3.9224349754960527e-4
Killdeer,1.0005316335158423,pre,13.30817725,0.02504885649395236
Indigo Bunting,0.2981542173340281,pre,11.59424,0.07250272685690158
Cooper's Hawk,0.05751157847574823,pre,0.144497,0.01527581941644638
Hermit Thrush,0.06681599103392973,pre,0.112445,0.05974468593978893
Brown Creeper,0.05873080014974289,pre,0.0186325,0.05173064695596884
American Kestrel,0.0470044648624609,pre,0.656242,0.00577887277019829
Purple Finch,0.05161702165621848,pre,0.0668835,0.04275964326988073
Bald Eagle,0.2317776747625409,pre,0.35819524999999997,0.00349845631912565
Dark-eyed Junco,0.9741019474175134,pre,0.0033675,0.02922327882408292
Brown-headed Cowbird,1.1273439041063982,pre,17.63855875,0.0285454039039152
House Sparrow,2.0234255767595863,pre,90.85822425,0.03764395243659849
American Woodcock,0.023984634502783892,pre,0.01468625,0.546774577481552
Yellow-bellied Sapsucker,0.06514410440238148,pre,0.7492894999999999,0.0237653916914151
Pine Siskin,0.1602764362117428,pre,0.017736500000000002,0.03943253632158446
White-throated Sparrow,0.37252343532392473,pre,0.0825025,0.05287933691139813
Green Heron,0.1032307391886592,pre,0.6212105,0.0124631778890266
Least Flycatcher,0.06919165603014155,pre,0.7150215,0.08416867429283825
Bank Swallow,0.29147658317916847,pre,8.600258,0.01326770377572516
Field Sparrow,0.2656317269895038,pre,3.2147425,0.07353012515765985
Northern Rough-winged Swallow,0.34449455331715856,pre,1.9237185,0.0155854487596731
Eastern Kingbird,0.25413337624288745,pre,2.8805472500000002,0.01420260732581649
Great Egret,0.4250920446281391,pre,0.5648485,0.00253736949911759
Great Blue Heron,0.4343931530625428,pre,1.60215225,0.00428259855780489
Henslow's Sparrow,0.030051005758757333,pre,0.0814965,0.15892846417202233
Northern Harrier,0.030847299589198292,pre,0.19032,0.00308366004080977
Bobolink,0.12077894057236016,pre,5.75455175,0.05381882552521912
Great Crested Flycatcher,0.1830451531643098,pre,4.30307725,0.07568548007161029
Double-crested Cormorant,1.239779932139906,pre,1.825954,0.00169349382360924
Sora,0.06122210947817643,pre,0.24068699999999998,0.06980392156862746
Tree Swallow,2.5481237367921783,pre,10.80769575,0.01217405746553728
Warbling Vireo,0.2375334583834046,pre,8.27644675,0.1130823312964058
Ring-necked Duck,2.096621830808377,pre,0.10673575,0.00187665178670575
Black Tern,0.0933877544547023,pre,0.25891975,0.00838728194661479
Rock Pigeon,0.5972005480880523,pre,61.73894275,0.00661650807700818
American Coot,2.470579255851851,pre,0.03596,0.00656175011759942
Gadwall,0.48339991693432827,pre,0.0115145,0.00684674796203836
American White Pelican,1.069693552431984,pre,41.73957125,2.1537931373996947e-4
Pied-billed Grebe,0.25015521121446044,pre,0.16271175,0.00681801233634107
Blue-winged Teal,0.5540189544364635,pre,0.19198975000000001,0.00367188073731365
Forster's Tern,0.07378438808123255,pre,0.20547725,0.00799364687934295
Brown Thrasher,0.10522973407420601,pre,2.4165247499999998,0.06200961547368713
Yellow-headed Blackbird,0.05614036710797646,pre,1.5576587499999999,0.0154938761623951
Horned Lark,0.19909658647668396,pre,22.570476499999998,0.02264318074868284
Vesper Sparrow,0.030919990312309086,pre,5.3003345,0.04100730371272063
Osprey,0.061747465158840796,pre,0.11895025000000001,0.00851742844105976
Blackburnian Warbler,0.031237186194974363,pre,0.030312,0.04338468647025206
Black-throated Green Warbler,0.05523173306909154,pre,0.0996515,0.04142854278208907
Chipping Sparrow,0.6693956526321807,pre,25.78140875,0.04764761422855623
Blue-headed Vireo,0.020231149891244766,pre,0.0560245,0.07997858819331018
Green-winged Teal,0.33521657374919916,pre,0.0186825,0.00876116218423201
Lesser Scaup,2.3269853405940353,pre,0.0215115,4.424160573743771e-4
Sedge Wren,0.06579171266282309,pre,2.85304475,0.19474462518484817
Ruddy Duck,0.6758287816274858,pre,0.02899575,0.0013378379522612
Northern Shoveler,0.7872339230423315,pre,0.02018975,0.00209488601355514
Virginia Rail,0.019352252966359725,pre,0.021705500000000003,0.18681039069186464
Northern Mockingbird,0.004344922767758757,pre,0.16625575,0.03585991301196085
Tufted Titmouse,0.3881882861543006,pre,1.80353225,0.09656906103067828
Broad-winged Hawk,0.024942830398335253,pre,0.04675925,0.02667276678485645
Eastern Towhee,0.20375540100333026,pre,1.67466575,0.12200173129814489
Ruby-throated Hummingbird,0.17986989021387925,pre,0.40161199999999997,0.00756853635009332
Swainson's Thrush,0.07463024376833996,pre,0.00827475,0.18071761096435637
Nashville Warbler,0.09632512049313387,pre,0.14312124999999998,0.05872060470324748
Scarlet Tanager,0.07953686757831847,pre,1.0457935,0.06421782686873877
Black-throated Blue Warbler,0.01157764971728265,pre,0.01008525,0.06076629317218515
Cape May Warbler,0.016715562191704603,pre,0.00323425,0.02816432580373737
Barred Owl,0.02395489738878402,pre,0.0889415,0.08437066382448168
Yellow-throated Vireo,0.0840205635447433,pre,2.2153155,0.1627502852993049
Great Horned Owl,0.02250769117412369,pre,0.062866,0.08264042320371906
Red-shouldered Hawk,0.01514940752104479,pre,0.07376725,0.02893985125648677
Mute Swan,0.3123553413308548,pre,0.58015525,0.00425654946431726
Common Loon,0.15602072478598367,pre,0.245773,0.01023425739157339
Hooded Merganser,0.3351703160163105,pre,0.10184575,0.00198679800577471
Yellow-bellied Flycatcher,0.004533257823091266,pre,0.0132345,0.10845656535632012
Chestnut-sided Warbler,0.08140700163653251,pre,0.520056,0.05891511552472678
Blue-winged Warbler,0.04963785151333826,pre,0.40773625,0.08253098432858752
Black-billed Cuckoo,0.012330989938612685,pre,0.42333975,0.1639654716814939
Sharp-shinned Hawk,0.009165639359515431,pre,0.01565075,0.00844466435757875
