common_name,N,time,Index,audio_index
Acadian Flycatcher,0.008915468465029478,pre,0.20484225,0.300500252064994
Alder Flycatcher,0.006217924248207999,pre,2.45576425,0.31918050835287926
American Bittern,0.003588242778979514,pre,0.06664149999999999,0.03435083697880514
American Black Duck,0.004580735462527039,pre,0.00402675,0.00256833322956229
American Coot,0.04372905798023497,pre,0.03596,0.00656175011759942
American Crow,0.31896339653051703,pre,45.5319765,0.07789828800842638
American Goldfinch,0.3897103108962124,pre,20.832276,0.02886895642793884
American Goshawk,5.937990414386902e-5,pre,0.00200875,0.04369488031153362
American Kestrel,0.017483140348644864,pre,0.656242,0.00577887277019829
American Redstart,0.08243627263858845,pre,2.68483925,0.06945654933878682
American Robin,0.5767570089493999,pre,79.31416,0.03944734886772119
American White Pelican,0.02929125842982568,pre,41.73957125,2.1537931373996947e-4
American Woodcock,0.0058870933536921575,pre,0.01468625,0.546774577481552
Bald Eagle,0.07653221359799806,pre,0.35819524999999997,0.00349845631912565
Baltimore Oriole,0.17252407006828688,pre,6.653995999999999,0.02794049679159904
Bank Swallow,0.020223098782711967,pre,8.600258,0.01326770377572516
Barn Swallow,0.1834923866480044,pre,27.57323675,0.01587309593463129
Barred Owl,0.012045637697756288,pre,0.0889415,0.08437066382448168
Bell's Vireo,9.076642490562837e-4,pre,0.027442750000000002,0.2392064324418808
Belted Kingfisher,0.05444288925647877,pre,0.26419950000000003,0.01770883344646237
Black Tern,0.008279255206345168,pre,0.25891975,0.00838728194661479
Black-and-white Warbler,0.03318488357297366,pre,0.2400025,0.04071707647591487
Black-billed Cuckoo,0.006642066420664207,pre,0.42333975,0.1639654716814939
Black-capped Chickadee,0.4146159392628409,pre,6.8390625,0.0644706895491173
Black-crowned Night Heron,0.006888068880688807,pre,0.029115500000000002,0.00907334960053173
Black-throated Blue Warbler,0.004682529583916529,pre,0.01008525,0.06076629317218515
Black-throated Green Warbler,0.017432243287950122,pre,0.0996515,0.04142854278208907
Blackburnian Warbler,0.012859990668872206,pre,0.030312,0.04338468647025206
Blue Grosbeak,0.0015353946642914704,pre,0.03944225,0.05538389909421823
Blue Jay,0.3582644102303092,pre,9.2349205,0.084809997579587
Blue-gray Gnatcatcher,0.06820206133095813,pre,0.56709975,0.04130934950847103
Blue-headed Vireo,0.009136022394706705,pre,0.0560245,0.07997858819331018
Blue-winged Teal,0.05113458031132036,pre,0.19198975000000001,0.00367188073731365
Blue-winged Warbler,0.017907282521101072,pre,0.40773625,0.08253098432858752
Bobolink,0.01902701785638546,pre,5.75455175,0.05381882552521912
Brewer's Blackbird,0.0028587182423548373,pre,0.45054525,0.01722704681724119
Broad-winged Hawk,0.010756245493489417,pre,0.04675925,0.02667276678485645
Brown Creeper,0.025007422488017985,pre,0.0186325,0.05173064695596884
Brown Thrasher,0.04639267082325996,pre,2.4165247499999998,0.06200961547368713
Brown-headed Cowbird,0.19635237731687663,pre,17.63855875,0.0285454039039152
Canada Goose,0.3457691818297493,pre,193.34919225,0.01555045537537116
Canada Warbler,0.007388556644187132,pre,0.01342175,0.12696304028087488
Cape May Warbler,0.006277304152351868,pre,0.00323425,0.02816432580373737
Carolina Chickadee,5.089706069474488e-5,pre,0.23592525,0.08495373665480427
Carolina Wren,0.017712177121771217,pre,0.12009800000000001,0.17330704542711142
Caspian Tern,0.01659244178648683,pre,0.02267525,0.01003739575346966
Cedar Waxwing,0.10298171947236713,pre,8.14645075,0.01474185601819152
Cerulean Warbler,0.005183017347414854,pre,0.0429645,0.16573255446795074
Chestnut-sided Warbler,0.027365652966874498,pre,0.520056,0.05891511552472678
Chimney Swift,0.060321499766721805,pre,3.27630675,0.06495669553630913
Chipping Sparrow,0.19250116639097425,pre,25.78140875,0.04764761422855623
Clay-colored Sparrow,0.01814480213767655,pre,1.24855075,0.03715272069702449
Cliff Swallow,0.02608474360605675,pre,103.0690245,0.02206411971365153
Common Gallinule,0.004088730542477838,pre,0.00459025,0.01568590542967616
Common Grackle,0.26824447554820374,pre,42.026835500000004,0.02881170781859949
Common Loon,0.031657971752131316,pre,0.245773,0.01023425739157339
Common Merganser,0.033371506128854395,pre,0.00426475,0.0025780304522811
Common Nighthawk,0.008364083640836408,pre,0.045125,0.0721923076923077
