common_name,N,time,Index,audio_index
Acadian Flycatcher,0.010572142023116585,pre,0.20484225,0.300500252064994
Alder Flycatcher,0.00862608071999895,pre,2.45576425,0.31918050835287926
American Avocet,0.0013469368120454634,pre,0.0209855217997195,0.00470369273719385
American Bittern,0.004246349495117354,pre,0.06664149999999999,0.03435083697880514
American Black Duck,0.006669086488212116,pre,0.00402675,0.00256833322956229
American Coot,0.04619818338457233,pre,0.03596,0.00656175011759942
American Crow,0.3832232022985389,pre,45.5319765,0.07789828800842638
American Goldfinch,0.41032374588375237,pre,20.832276,0.02886895642793884
American Goshawk,6.997074348288123e-5,pre,0.00200875,0.04369488031153362
American Kestrel,0.023884075970734737,pre,0.656242,0.00577887277019829
American Redstart,0.08326081157316097,pre,2.68483925,0.06945654933878682
American Robin,0.6063271044794395,pre,79.31416,0.03944734886772119
American White Pelican,0.029503601306703636,pre,41.73957125,2.1537931373996947e-4
American Wigeon,0.01831484210664416,pre,0.010381592336916316,0.00579583613163196
American Woodcock,0.007231039021809006,pre,0.01468625,0.546774577481552
Bald Eagle,0.07244595853358814,pre,0.35819524999999997,0.00349845631912565
Baltimore Oriole,0.17352307066607775,pre,6.653995999999999,0.02794049679159904
Bank Swallow,0.024188011387738503,pre,8.600258,0.01326770377572516
Barn Swallow,0.20563089558178488,pre,27.57323675,0.01587309593463129
Barred Owl,0.012362955739131576,pre,0.0889415,0.08437066382448168
Barrow's Goldeneye,1.2900855829656226e-4,pre,0.0018019061446890219,0.00132199443578461
Bay-breasted Warbler,0.006417629128820512,pre,0.0027391727412603194,0.0332968377664713
Bell's Vireo,0.0012769660685625823,pre,0.027442750000000002,0.2392064324418808
Belted Kingfisher,0.06077396388635002,pre,0.26419950000000003,0.01770883344646237
Black Tern,0.00908963689557304,pre,0.25891975,0.00838728194661479
Black Vulture,3.061220027376053e-5,pre,0.12488899975209883,0.00221292486428546
Black-and-white Warbler,0.031436543095418226,pre,0.2400025,0.04071707647591487
Black-bellied Whistling-Duck,4.1545128942960724e-4,pre,0.1253672079743931,0.01623755993392159
Black-billed Cuckoo,0.007209173164470606,pre,0.42333975,0.1639654716814939
Black-billed Magpie,5.247805761216091e-5,pre,0.15859801966372133,0.03146874245715665
Black-capped Chickadee,0.4140081428452728,pre,6.8390625,0.0644706895491173
Black-crowned Night Heron,0.008361503846204306,pre,0.029115500000000002,0.00907334960053173
Black-necked Stilt,0.0038024725911478263,pre,0.049012824190783594,0.01279310663341382
Black-throated Blue Warbler,0.005300283818828253,pre,0.01008525,0.06076629317218515
Black-throated Green Warbler,0.022040784197107584,pre,0.0996515,0.04142854278208907
Blackburnian Warbler,0.013698959622507839,pre,0.030312,0.04338468647025206
Blackpoll Warbler,0.011785697105397806,pre,8.278070651833197e-4,0.03874624103631737
Blue Grosbeak,0.0014125343840606646,pre,0.03944225,0.05538389909421823
Blue Jay,0.3711751149050803,pre,9.2349205,0.084809997579587
Blue-gray Gnatcatcher,0.08159900641544254,pre,0.56709975,0.04130934950847103
Blue-headed Vireo,0.010810479868105148,pre,0.0560245,0.07997858819331018
Blue-winged Teal,0.06248606051594677,pre,0.19198975000000001,0.00367188073731365
Blue-winged Warbler,0.021365129205351014,pre,0.40773625,0.08253098432858752
Bobolink,0.02346862468130513,pre,5.75455175,0.05381882552521912
