AOU,BBS_common
1770,Black-bellied Whistling-Duck
1780,Fulvous Whistling-Duck
1720,Canada Goose
1782,Mute Swan
1440,Wood Duck
1400,Blue-winged Teal
1410,Cinnamon Teal
1420,Northern Shoveler
1350,Gadwall
1370,American Wigeon
31320,Mallard
1330,American Black Duck
1340,Mottled Duck
1430,Northern Pintail
1390,Green-winged Teal
1470,Canvasback
1460,Redhead
1500,Ring-necked Duck
1490,Lesser Scaup
1530,Bufflehead
1510,Common Goldeneye
1520,Barrow's Goldeneye
1310,Hooded Merganser
1290,Common Merganser
1300,Red-breasted Merganser
1670,Ruddy Duck
2920,Mountain Quail
2890,Northern Bobwhite
2930,Scaled Quail
2940,California Quail
2950,Gambel's Quail
3100,Wild Turkey
3000,Ruffed Grouse
3090,Greater Sage-Grouse
2970,Dusky Grouse
2971,Sooty Grouse
3080,Sharp-tailed Grouse
3050,Greater Prairie-Chicken
2881,Gray Partridge
3091,Ring-necked Pheasant
2882,Chukar
60,Pied-billed Grebe
30,Horned Grebe
20,Red-necked Grebe
40,Eared Grebe
30010,Clark's Grebe
30010,Western Grebe
3131,Rock Pigeon
3120,Band-tailed Pigeon
22860,Eurasian Collared-Dove
3210,Inca Dove
3200,Common Ground Dove
3190,White-winged Dove
3160,Mourning Dove
3840,Groove-billed Ani
3850,Greater Roadrunner
3870,Yellow-billed Cuckoo
3880,Black-billed Cuckoo
4210,Lesser Nighthawk
4200,Common Nighthawk
4180,Common Poorwill
4160,Chuck-will's-widow
4171,Eastern Whip-poor-will
4220,Black Swift
4230,Chimney Swift
4240,Vaux's Swift
4250,White-throated Swift
4280,Ruby-throated Hummingbird
4290,Black-chinned Hummingbird
4310,Anna's Hummingbird
4300,Costa's Hummingbird
4360,Calliope Hummingbird
4330,Rufous Hummingbird
4340,Allen's Hummingbird
4320,Broad-tailed Hummingbird
2110,Clapper Rail
2080,King Rail
2120,Virginia Rail
2140,Sora
2190,Common Gallinule
2210,American Coot
2180,Purple Gallinule
2060,Sandhill Crane
2260,Black-necked Stilt
2250,American Avocet
2730,Killdeer
2810,Mountain Plover
2780,Snowy Plover
2610,Upland Sandpiper
2640,Long-billed Curlew
