common_name,trend
Acadian Flycatcher,0.16623749999999982
African Collared-Dove,NA
Alder Flycatcher,0.012008749999999901
American Avocet,0.04929575000000008
American Barn Owl,NA
American Bittern,-0.01483474999999998
American Black Duck,-0.0021867499999999977
American Coot,0.11102950000000011
American Crow,0.12774024999999867
American Golden-Plover,NA
American Goldfinch,-0.7383732499999995
American Goshawk,1.2374999999999886e-4
American Herring Gull,NA
American Kestrel,-0.0460512500000001
American Pipit,NA
American Redstart,0.1368592500000001
American Robin,-1.7948185000000016
American Tree Sparrow,NA
American White Pelican,1.3344157500000016
American Wigeon,-0.04450274999999998
American Woodcock,1.7074999999999903e-4
Arctic Tern,NA
Baird's Sandpiper,NA
Bald Eagle,0.0418645
Baltimore Oriole,-0.14030524999999994
Bank Swallow,-0.15100625
Barn Swallow,-1.595710500000001
Barnacle Goose,NA
Barred Owl,0.014943250000000019
Barrow's Goldeneye,0.0030147500000000105
Bay-breasted Warbler,-0.00885074999999999
Bell's Vireo,0.1550094999999998
Belted Kingfisher,0.0012732500000000035
Black Scoter,NA
Black Swan,NA
Black Tern,1.38466175
Black Vulture,0.8442732499999996
Black-and-white Warbler,0.05986199999999986
Black-bellied Plover,NA
Black-bellied Whistling-Duck,4.394612500000001
Black-billed Cuckoo,0.05150200000000002
Black-billed Magpie,-0.6580685000000006
Black-capped Chickadee,-0.29730025000000015
Black-crowned Night Heron,-0.0013734999999999997
Black-headed Gull,NA
Black-legged Kittiwake,NA
Black-necked Stilt,-0.06938675000000005
Black-throated Blue Warbler,-0.03771224999999989
Black-throated Green Warbler,-0.2772709999999998
Blackburnian Warbler,-0.03132675000000007
Blackpoll Warbler,0.001932749999999997
Blue Grosbeak,0.15945674999999992
Blue Jay,-0.09003024999999987
Blue-gray Gnatcatcher,-0.3482980000000002
Blue-headed Vireo,0.1805405
Blue-winged Teal,0.17814099999999988
Blue-winged Warbler,-0.006935250000000004
Bobolink,-0.6191699999999996
Bohemian Waxwing,NA
Bonaparte's Gull,NA
Brambling,NA
Brant,NA
Brewer's Blackbird,-1.5546077499999988
Broad-winged Hawk,0.003372999999999987
