audio_index,common_name,scientific_name
1.2241400416207614e-4,Common Ostrich,Struthio camelus
0,Somali Ostrich,Struthio molybdophanes
0.005958291956305859,Southern Cassowary,Casuarius casuarius
0.6,Dwarf Cassowary,Casuarius bennetti
0.03333333333333333,Northern Cassowary,Casuarius unappendiculatus
0.0022448627180107063,Emu,Dromaius novaehollandiae
0.061764705882352944,Southern Brown Kiwi,Apteryx australis
1.2857142857142858,Okarito Brown Kiwi,Apteryx rowi
0.2545454545454545,North Island Brown Kiwi,Apteryx mantelli
0.4166666666666667,Little Spotted Kiwi,Apteryx owenii
2.375,Great Spotted Kiwi,Apteryx maxima
0.003528319405756732,Greater Rhea,Rhea americana
6.745362563237774e-4,Lesser Rhea,Rhea pennata
1.08,Tawny-breasted Tinamou,Nothocercus julius
1.1353383458646618,Highland Tinamou,Nothocercus bonapartei
1.8076923076923077,Hooded Tinamou,Nothocercus nigrocapillus
0.22727272727272727,Gray Tinamou,Tinamus tao
0.14444444444444443,Solitary Tinamou,Tinamus solitarius
0.24444444444444444,Black Tinamou,Tinamus osgoodi
0.14949324324324326,Great Tinamou,Tinamus major
1.617283950617284,White-throated Tinamou,Tinamus guttatus
1.43125,Cinereous Tinamou,Crypturellus cinereus
1.52,Berlepsch's Tinamou,Crypturellus berlepschi
0.7150127226463104,Little Tinamou,Crypturellus soui
0.10526315789473684,Tepui Tinamou,Crypturellus ptaritepui
0.704,Brown Tinamou,Crypturellus obsoletus
0.6062111801242236,Undulated Tinamou,Crypturellus undulatus
0.22115384615384615,Pale-browed Tinamou,Crypturellus transfasciatus
9.454545454545455,Brazilian Tinamou,Crypturellus strigulosus
8.2,Gray-legged Tinamou,Crypturellus duidae
5.366666666666666,Red-legged Tinamou,Crypturellus erythropus
0.8857142857142857,Yellow-legged Tinamou,Crypturellus noctivagus
1.1304347826086956,Black-capped Tinamou,Crypturellus atrocapillus
0.5841121495327103,Slaty-breasted Tinamou,Crypturellus boucardi
3.75,Choco Tinamou,Crypturellus kerriae
2.8085106382978724,Variegated Tinamou,Crypturellus variegatus
0.9134615384615384,Thicket Tinamou,Crypturellus cinnamomeus
0.631578947368421,Rusty Tinamou,Crypturellus brevirostris
7,Bartlett's Tinamou,Crypturellus bartletti
0.30467289719626167,Small-billed Tinamou,Crypturellus parvirostris
0.6363636363636364,Barred Tinamou,Crypturellus casiquiare
0.5440677966101695,Tataupa Tinamou,Crypturellus tataupa
0.2107728337236534,Red-winged Tinamou,Rhynchotus rufescens
0.4626865671641791,Huayco Tinamou,Rhynchotus maculicollis
